event_title,event_url_html,event_img-src,event_tags,event_dates_html,event_date_span,Days,Time,event_item_html,venue_name,venue_url_html
Muse,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/muse/"">Muse</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Muse_-_panjurycom-300x300.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 6</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jun 6</td><td>7pm – 10:30pm</td></tr></tbody></table></dd></dl>",6-Jun,"Tue, Jun 6",7pm – 10:30pm,"<td class=""thumb"">
<a title=""Muse"" href=""https://atlantaplanit.wabe.org/events/muse/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/Muse_-_panjurycom-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/Muse_-_panjurycom-300x300.jpg 300w, /wp-content/uploads/2017/02/Muse_-_panjurycom-63x63.jpg 63w, /wp-content/uploads/2017/02/Muse_-_panjurycom.jpg 417w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/muse/"">Muse</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 6</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jun 6</td><td>7pm – 10:30pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl> </td>",Lakewood Amphitheatre,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl>"
Fusion II: L’Esprit de la Dance,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/"">Fusion II: L’Esprit de la Dance</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg,Dance Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 14</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, May 14</td><td>3pm – 5pm</td></tr></tbody></table></dd></dl>",14-May,"Sun, May 14",3pm – 5pm,"<td class=""thumb"">
<a title=""Fusion II: L’Esprit de la Dance"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg 300w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion-63x63.jpg 63w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/"">Fusion II: L’Esprit de la Dance</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 14</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, May 14</td><td>3pm – 5pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl> </td>",Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>"
Chatt Hills Music Series,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chatt-hills-music-series/"">Chatt Hills Music Series</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/CHM_-_logo.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 4, 2016 – Jun 17, 2017</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Mar 4<br>Fri, Mar 10<br>Sat, Apr 15<br>Sat, May 13<br>Sat, Jun 17</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>","Mar 4, 2016 – Jun 17, 2017","Sat, Mar 4Fri, Mar 10Sat, Apr 15Sat, May 13Sat, Jun 17",8pm – 10pm,"<td class=""thumb"">
<a title=""Chatt Hills Music Series"" href=""https://atlantaplanit.wabe.org/events/chatt-hills-music-series/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/06/CHM_-_logo.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/CHM_-_logo.jpg 280w, /wp-content/uploads/2016/06/CHM_-_logo-63x63.jpg 63w"" sizes=""(max-width: 280px) 100vw, 280px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chatt-hills-music-series/"">Chatt Hills Music Series</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 4, 2016 – Jun 17, 2017</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Mar 4<br>Fri, Mar 10<br>Sat, Apr 15<br>Sat, May 13<br>Sat, Jun 17</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/serenbe-community/"">Serenbe Community</a></span></dd></dl> </td>",Serenbe Community,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/serenbe-community/"">Serenbe Community</a></span></dd></dl>"
Kiefer Sutherland,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/kiefer-sutherland/"">Kiefer Sutherland</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-300x300.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 17</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, May 17</td><td>8pm – 11pm</td></tr></tbody></table></dd></dl>",17-May,"Wed, May 17",8pm – 11pm,"<td class=""thumb"">
<a title=""Kiefer Sutherland"" href=""https://atlantaplanit.wabe.org/events/kiefer-sutherland/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-300x300.jpg 300w, /wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-63x63.jpg 63w, /wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/kiefer-sutherland/"">Kiefer Sutherland</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 17</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, May 17</td><td>8pm – 11pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/terminal-west/"">Terminal West</a></span></dd></dl> </td>",Terminal West,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/terminal-west/"">Terminal West</a></span></dd></dl>"
Sounds Of The Big Bands,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sounds-of-the-big-bands/"">Sounds Of The Big Bands</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-300x300.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>8pm – 9:30pm</td></tr></tbody></table></dd></dl>",13-May,"Sat, May 13",8pm – 9:30pm,"<td class=""thumb"">
<a title=""Sounds Of The Big Bands"" href=""https://atlantaplanit.wabe.org/events/sounds-of-the-big-bands/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-300x300.jpg 300w, /wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-63x63.jpg 63w, /wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sounds-of-the-big-bands/"">Sounds Of The Big Bands</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>8pm – 9:30pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/johns-creek-united-methodist-church/"">Johns Creek United Methodist Church</a></span></dd></dl> </td>",Johns Creek United Methodist Church,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/johns-creek-united-methodist-church/"">Johns Creek United Methodist Church</a></span></dd></dl>"
Chance The Rapper,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chance-the-rapper-magnificent-coloring-world-tour/"">Chance The Rapper</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Jun 11</td><td>8pm – 10:30pm</td></tr></tbody></table></dd></dl>",11-Jun,"Sun, Jun 11",8pm – 10:30pm,"<td class=""thumb"">
<a title=""Chance The Rapper"" href=""https://atlantaplanit.wabe.org/events/chance-the-rapper-magnificent-coloring-world-tour/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv.jpg 280w, /wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv-63x63.jpg 63w"" sizes=""(max-width: 280px) 100vw, 280px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chance-the-rapper-magnificent-coloring-world-tour/"">Chance The Rapper</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Jun 11</td><td>8pm – 10:30pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl> </td>",Lakewood Amphitheatre,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl>"
James Taylor & His All-Star Band With Special Guest Bonnie Raitt,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/james-taylor-his-all-star-band-with-special-guest-bonnie-raitt/"">James Taylor &amp; His All-Star Band With Special Guest Bonnie Raitt</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/JamesTaylor-300x300.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jul 11</td><td>8:30pm – 11pm</td></tr></tbody></table></dd></dl>",11-Jul,"Tue, Jul 11",8:30pm – 11pm,"<td class=""thumb"">
<a title=""James Taylor &amp; His All-Star Band With Special Guest Bonnie Raitt"" href=""https://atlantaplanit.wabe.org/events/james-taylor-his-all-star-band-with-special-guest-bonnie-raitt/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/JamesTaylor-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/JamesTaylor-300x300.jpg 300w, /wp-content/uploads/2017/03/JamesTaylor-63x63.jpg 63w, /wp-content/uploads/2017/03/JamesTaylor.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/james-taylor-his-all-star-band-with-special-guest-bonnie-raitt/"">James Taylor &amp; His All-Star Band With Special Guest Bonnie Raitt</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jul 11</td><td>8:30pm – 11pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/infinite-energy-arena/"">Infinite Energy Center</a></span></dd></dl> </td>",Infinite Energy Center,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/infinite-energy-arena/"">Infinite Energy Center</a></span></dd></dl>"
John Mayer,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/john-mayer/"">John Mayer</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/John_Mayer_-_cloudfrontnet-300x300.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 10</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Aug 10</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl>",10-Aug,"Thu, Aug 10",7pm – 10pm,"<td class=""thumb"">
<a title=""John Mayer"" href=""https://atlantaplanit.wabe.org/events/john-mayer/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/John_Mayer_-_cloudfrontnet-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/John_Mayer_-_cloudfrontnet-300x300.jpg 300w, /wp-content/uploads/2017/03/John_Mayer_-_cloudfrontnet-63x63.jpg 63w, /wp-content/uploads/2017/03/John_Mayer_-_cloudfrontnet.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/john-mayer/"">John Mayer</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 10</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Aug 10</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl> </td>",Lakewood Amphitheatre,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl>"
SoSoSUMMER17,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sososummer17/"">SoSoSUMMER17</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/SoSoSUMMER17-300x300.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 22</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Jun 22</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl>",22-Jun,"Thu, Jun 22",7pm – 10pm,"<td class=""thumb"">
<a title=""SoSoSUMMER17"" href=""https://atlantaplanit.wabe.org/events/sososummer17/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/SoSoSUMMER17-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/SoSoSUMMER17-300x300.jpg 300w, /wp-content/uploads/2017/04/SoSoSUMMER17-63x63.jpg 63w, /wp-content/uploads/2017/04/SoSoSUMMER17.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sososummer17/"">SoSoSUMMER17</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 22</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Jun 22</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/verizon-wireless-amphitheatre-at-encore-park/"">Verizon Wireless Amphitheatre at Encore Park</a></span></dd></dl> </td>",Verizon Wireless Amphitheatre at Encore Park,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/verizon-wireless-amphitheatre-at-encore-park/"">Verizon Wireless Amphitheatre at Encore Park</a></span></dd></dl>"
Tony Furtado,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/tony-furtado/"">Tony Furtado</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/05/Tony_Furtado_-_tonyfurtadocom-300x300.jpg,Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 11</td><td>9pm – 11pm</td></tr></tbody></table></dd></dl>",11-May,"Thu, May 11",9pm – 11pm,"<td class=""thumb"">
<a title=""Tony Furtado"" href=""https://atlantaplanit.wabe.org/events/tony-furtado/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/05/Tony_Furtado_-_tonyfurtadocom-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/05/Tony_Furtado_-_tonyfurtadocom-300x300.jpg 300w, /wp-content/uploads/2017/05/Tony_Furtado_-_tonyfurtadocom-63x63.jpg 63w, /wp-content/uploads/2017/05/Tony_Furtado_-_tonyfurtadocom.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/tony-furtado/"">Tony Furtado</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 11</td><td>9pm – 11pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/eddies-attic/"">Eddie’s Attic</a></span></dd></dl> </td>",Eddie’s Attic,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/eddies-attic/"">Eddie’s Attic</a></span></dd></dl>"
