event_link,event_link-href,event_title,event_dates,Days,Time,event_admission,event_description,venue_name,venue_address,venue_events_button
"Robin Hood","https://atlantaplanit.wabe.org/events/robin-hood/","Robin Hood","Jun 2 – Aug 13","Every","11am – 1pm2pm – 4pm","Adults$20Seniors/Students$15Children (ages 12 and under)$10","No tale could be more suited for rebellion than that of Robin Hood, the story of a renegade knight who abandons his life of comfort for that of an outlaw. But Robin Hood’s defection is not in the name of recklessness — he’s a man of the people who steals from the rich and gives to the poor. Alongside his band of Merry Men, the hero also chases romance with the lovely Maid Marian. In this new adaptation by Serenbe collaborator Rachel Teagle and under the direction of Broadway’s Paul McGill, characters will fly through Serenbe’s magnificent forest on a zip line, redistributing wealth as they go!","Serenbe Playhouse at Serenbe Community","9110 Selborne Lane
CHATTAHOOCHEE HILLS, GA 30268",""
"Jim Henson’s Labyrinth: Journey to Goblin City","https://atlantaplanit.wabe.org/events/jim-hensons-labyrinth-journey-to-goblin-city/","Jim Henson’s Labyrinth: Journey to Goblin City","Sep 2, 2016 – Sep 3, 2017","Every","9am – 5pm10am – 5pm12pm – 5pm","General Admission: $10.50 Children (2 and under): Free!","In celebration of the 30th anniversary of Jim Henson’s fantastical film Labyrinth, Center for Puppetry Arts invites guests to journey into the magical world of the Goblin King with its brand-new, immersive special exhibit. It features more than 20 never before seen artifacts and memorabilia from the cult classic film. Featured items include original goblin puppets from the film, the plaster mold for the head of the original Hoggle puppet, crystal balls used by David Bowie, his costume from the M.C. Escher inspired stair scene, and behind the scenes video and photography from the production.","Center for Puppetry Arts","1404 Spring St. NW
ATLANTA, GA 30309",""
"Atlanta BeltLine Lantern Parade","https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/","null","null","Sat, Sep 9","7:30pm – 11pm","Free!","Created and hosted by Chantelle Rytter and the Krewe of the Grateful Gluttons, the Lantern Parade marks the beginning of the annual Art on the Atlanta BeltLine exhibition, the largest temporary art exhibition in the South. The parade will walk the Atlanta BeltLine Eastside Trail at Irwin Street.





This event takes place at:


Atlanta BeltLine Eastside Trail


at Irwin Street


660 Irwin St. NE


Atlanta, GA, 30312","null","ATLANTA, GA",""
"Pete the Cat","https://atlantaplanit.wabe.org/events/pete-the-cat/","Pete the Cat","Apr 4 – May 28","Every","10am – 11am11:30am – 12:30pm12pm – 1pm2pm – 3pm1pm – 2pm3pm – 4pm","Price: $20.50","This new show is a groovy adventure of one cool, skateboarding, surfing, rocking blue cat and his fine friends. The show is based on the New York Times Best Seller series by James Dean.





Sensory-Friendly Performance: 


Sun., April 23 


12 p.m.: Museum exhibits 


1 p.m.: Performance 


1:45 p.m.: Create-A-Puppet Workshops 


Guests will be welcomed by staff members who have been trained in interactions with patrons with ASD.","Center for Puppetry Arts","1404 Spring St. NW
ATLANTA, GA 30309",""
"Light Up Dunwoody","https://atlantaplanit.wabe.org/events/light-up-dunwoody/","null","Nov 19","Sun, Nov 19","3pm – 6pm","Free!","Celebrate holiday cheer with us at the annual Light Up Dunwoody festival sponsored by the Dunwoody Preservation Trust, Dunwoody Crier, and the Dunwoody Homeowner's Association! 





This even takes place at:


Cheek-Spruill Farmhouse 


5455 Chamblee Dunwoody Rd


Dunwoody, GA 30338","null","ATLANTA, GA",""
"Slingin’ Wings Festival","https://atlantaplanit.wabe.org/events/slingin-wings-festival/","null","May 20","Sat, May 20","12pm – 8pm","General Admission: $10","Atlanta Sport and Social Club is teaming up with POWER 96.1 and Radio 105.7 to bring you a seriously saucy wing and beer festival! Join us on Saturday, May 20th, for Slingin' Wings Festival where restaurants from all over the ATL will be slingin' chicken wings for your tasting pleasure!  In addition to a full day of good eats, they've got an awesome lineup of frosty brews, live local music, and all kinds of contests and activities to keep you entertained.","null","2660 Osborne Rd.
BROOKHAVEN, GA 30319",""
"Decatur Lantern Parade","https://atlantaplanit.wabe.org/events/decatur-lantern-parade/","null","null","Fri, May 12","8pm – 9pm","Free","Let your light shine and wind through downtown Decatur during this free community event. Gather at Color Wheel Studio at 508 E. Howard Ave. after 8 p.m., then parade to the downtown square. Make your own lantern at home or attend a lantern-making workshop where supplies and guidance are provided. Please note the Decatur Lantern Parade is battery powered. Flying lanterns are forbidden. The parade is a joint venture with Decatur Education Foundation.","null","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030",""
"Art in the Park","https://atlantaplanit.wabe.org/events/art-in-the-park/","null","null","Every","10am – 5pm","Free","Marietta’s Labor Day weekend tradition ""Art in the Park"" features nearly 175 artists from throughout the country as well as some talented local folks, and this year, the outdoor arts festival welcomes many new, nationally-ranked artists. With fine arts and crafts available for purchase, ""Art in the Park"" offers visitors a fun opportunity to meet and talk with the artists and even see some of the works in progress. The family-friendly weekend also includes the Chalk Spot street art display and an area for kids, the Children’s Art Alley. It all takes place amid a variety of dining options and historic sites.","null","50 Park Square
MARIETTA, GA 30060",""
"Dream Big","https://atlantaplanit.wabe.org/events/dream-big/","Dream Big","Mar 4 – Jun 16","Every","11am – 11:40am1pm – 1:40pm3pm – 3:40pm5pm – 5:40pm","Museum Admission:Adults$18Seniors$17Children (ages 3 to 12)$16Children (2 and under)Free!Giant Screen Theater Admission (one film):Adults$13Seniors$12Children (ages 3 to 12)$11","From the Great Wall of China and the world’s tallest buildings to underwater robots, solar cars and smart, sustainable cities, ""Dream Big"" celebrates the human ingenuity behind engineering marvels big and small, and shows how engineers push the limits of innovation in unexpected and amazing ways. Narrated by Academy Award® winner Jeff Bridges, ""Dream Big"" reveals the compassion and creativity that drive engineers to create better lives for people and a more sustainable future for us all.","Fernbank Museum of Natural History","767 Clifton Rd. NE
ATLANTA, GA 30307",""
"Dunwoody Art Festival","https://atlantaplanit.wabe.org/events/dunwoody-art-festival/","null","null","Sat, May 13","10am – 6pm","Free!","The Dunwoody Art Festival is whimsical and colorful art festival in the heart of Dunwoody featuring Quality art, great food, live entertainment, extravagant kid's zone!





This event takes place at:


Dunwoody Village Area


1442 Dunwoody Village Pkwy 


Dunwoody, GA 30338","null","ATLANTA, GA",""
"The Sky Tonight","https://atlantaplanit.wabe.org/events/the-sky-tonight/","The Sky Tonight","Jan 7 – May 27","Every","11am – 11:30am","General Admission$7Seniors/Students$5","Closed the month of December.





Presented live by Fernbank astronomers, this is a guided tour through the constellations, planets and events of the current evening sky.","Fernbank Science Center","156 Heaton Park Dr. NE
ATLANTA, GA 30307",""
"Duluth Spring Arts Festival","https://atlantaplanit.wabe.org/events/duluth-spring-arts-festival/","null","null","Sat, Jun 10","10am – 5pm","Free!","With an emphasis on the visual arts and family fun, this two day event event is presented by the Atlanta Foundation for Public Spaces for people of all ages, races, customs and interests. The festival features up to 125 painters, photographers, sculptors, leather and metalwork, glass blowers, jewelers and crafters! The Festival also offers artist demonstrations, live acoustic music, a children's play area, plus festival foods and beverages with healthy alternatives.





This event takes place at: 


Duluth Town Green 


3167 Main St.


Duluth, GA 30096","null","ATLANTA, GA",""
"Atlanta Moon Ride","https://atlantaplanit.wabe.org/events/atlanta-moon-ride/","null","null","Fri, Jun 9","7pm – 11pm","Single ticket prices range from $30 to $85","The Atlanta Moon Ride is back for its fifth annual ride. The festivities include a fun, safe, 6-mile bike ride through some of Atlanta's coolest neighborhoods. Featuring after-dark antics, participants are encouraged to ride with flair - dressing in costumes, decorative helmets, glow sticks, bullhorns - anything goes. The nighttime cruise will start and end at Piedmont Park, safely taking participants on a scenic and traffic-free route through Midtown, Ansley Park, Historic Old Fourth Ward, Morningside and the Virginia Highland neighborhoods. Tickets start from $30 and include an official Atlanta Moon Ride t-shirt as well as entry to the kick-off party starting at 7 p.m.","null","1071 Piedmont Ave.
ATLANTA, GA 30309",""
"The Blue Man Group – Making Waves","https://atlantaplanit.wabe.org/events/the-blue-man-group-making-waves/","The Blue Man Group – Making Waves","Jun 10 – Sep 4","Every","10am – 4pm10am – 5pm","General Admission$14.95","This awesome exhibit – designed to bring together science and art – takes the whole family through a multi-sensory exploration of sound that provides an opportunity to play together while discovering the fun of music.","The Children’s Museum of Atlanta","275 Centennial Olympic Park Dr. NW
ATLANTA, GA 30313",""
"Center for Puppetry Arts","https://atlantaplanit.wabe.org/events/center-for-puppetry-arts-worlds-of-puppetry-museum/","Center for Puppetry Arts","Dec 1, 2016 – Dec 31, 2017","Every","9am – 5pm10am – 5pm12pm – 5pm","Self-guided Tours:General Admission$10.50Children (2 and under)Free!Guided Tours:General Admission$14.50Children (2 and under)Free!Performances:General Admission$20.50 to $24.50Children (2 and under)Free!","The Center for Puppetry Arts strives to inspire imagination, education and community through the global art of puppetry. It offers various exhibits, puppet performances and workshops to the public.





Museum:


Visitors can enjoy a self-guided adventure through the Center's exhibits. The World of Puppetry Museum features the world's most comprehensive collection of the work of Jim Henson. See all the iconic characters: Kermit the Frog, Miss Piggy, Fozzie Bear, Oscar the Grouch, Bert and Ernie, and many more! Then, tour the Global Collection with puppets from around the world. Visitors can also purchase tickets for guided and behind the scenes tours.





Performances:


The Center presents a wide variety of family fun, including innovative adaptations of classic stories and dynamic new works by the Center’s company as well as other American and international artists. There are shows geared toward adults as well.





Film Series: 


The Film Series showcases puppets on the big screen – celebrating the art of puppetry as captured by the camera. 





Education:


Onsite offerings include a create-a-puppet workshop, the explore puppetry series, discovery days and a research library.","Center for Puppetry Arts","1404 Spring St. NW
ATLANTA, GA 30309",""
"Fall Fest 2017","https://atlantaplanit.wabe.org/events/fall-fest-2016/","null","null","Sat, Sep 30","12pm – 10pm","Free!","This year marks the 17th anniversary of the beloved Fall Fest in Candler Park, a two-day celebration of music and community kicked off with a 5k race and a tour of homes. It’s called the Fall Fest because it takes place in October — so mark your calendars — but it’s events like these that make people really fall for the charm of Candler Park.","null","McClendon Ave. and Candler Park Dr.
ATLANTA, GA 30307",""
"The Dancing Granny","https://atlantaplanit.wabe.org/events/the-dancing-granny/","The Dancing Granny","Jun 10 – Jun 18","Every","10am – 11am11:45am – 12:45pm11am – 12pm1pm – 2pm3:30pm – 4:30pm","Adults$15Children (ages 6 through 17)$8Children (ages 3 through 5)Free!","The Dancing Granny is a world premiere for youth and families based on the beloved children’s book by 2017 Newbery Honor recipient Ashley Bryan. Kids and adults will be tapping their feet all over Atlanta as Ananse, the clever spider of African folklore, tries to trick Granny into dancing away from her garden so he can take her vegetables. But his plan backfires when he is drawn into the dance himself! This world premiere play with music is written by Alliance/Kendeda Competition alumnus Jiréh Breon Holder (Too Heavy for Your Pocket) and directed by Alliance Yale Directing Fellow Leora Morris. Presented in conjunction with the High Museum of Art exhibition Painter and Poet: The Wonderful World of Ashley Bryan, The Dancing Granny is dancing to three convenient locations around Atlanta.





Schedule of Locations:


June 10 through 18: Conant Performing Arts Center at Oglethorpe University


June 24 through July 2: The Galloway School


July 8 through 16: Spelman College","Conant Performing Arts Center","Oglethorpe University
4484 Peachtree Rd. NE
ATLANTA, GA 30319",""
"Peppa Pig’s Surprise","https://atlantaplanit.wabe.org/events/peppa-pigs-surprise/","Peppa Pig’s Surprise","Sep 24","Sun, Sep 24","5pm – 7pm","Single ticket prices range from $$29.50 to $56.50","In Peppa Pig’s Surprise, it’s a lovely day and Peppa is playing outside with her friends. Mummy Pig and Daddy Pig have got a surprise for her and her younger brother George, but no matter how hard they try, they cannot guess what it is. Audiences will enjoy interactive fun, games and, of course, many surprises. The live show encompasses the charming, colorful nature of the incredibly popular television series and features brand-new songs and life-size puppets that walk, talk, dance, and jump up and down to give audiences a unique, interactive theatrical experience from the moment the curtain opens.","Cobb Energy Performing Arts Centre","2800 Cobb Galleria Pkwy.
ATLANTA, GA 30339",""
"Fernbank Museum of Natural History","https://atlantaplanit.wabe.org/events/fernbank-museum-of-natural-history-permanent-exhibits/","Fernbank Museum of Natural History","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm","Museum Admission:Adults$18Seniors$17Children (ages 3 to 12)$16Children (2 and under)Free!Giant Screen Theater Admission (one film):Adults$13Seniors$12Children (ages 3 to 12)$11","Explore cultural treasures and ancient fossils, experience the thrill of a film in the brand new Giant Screen Theater (opening in February 2017), enjoy science interactives, and marvel at the largest dinosaurs ever discovered. With distinctive special exhibitions, there’s always something new to discover at Fernbank.  





Fernbank NatureQuest invites visitors ages 2 through 10 into a world that belongs to the young — and the young at heart — with a working clubhouse built among giant trees. Visitors can climb up a tree and cross elevated rope bridges for an aerial view of the immense expedition that awaits.





A Walk Through Time in Georgia tells the two-fold story of Georgia's natural history and the development of the planet. Sixteen galleries combine with theaters and dioramas to explain this complex and fascinating story.   





Giants of the Mesozoic recreates life in the badlands of Patagonia, Argentina, where the largest dinosaurs in the world were unearthed.   





Sensing Nature playfully demonstrates the role of senses in interpreting the environment.   





Reflections of Culture will teach you how people around the world communicate information about themselves as you explore many forms of personal adornment, including traditional and contemporary clothing, jewelry and body art.  





World of Shells explains how shell material is formed, the numerous ways animals use their shells, and the life processes of shelled animals.





Conveyed in Clay: Stories from St. Catherine's Island explores 5,000 years of human history, from the oldest pots discovered in North America to the introduction of Spanish majolica in the mission era.





WildWoods features 10 acres of woodland adventures, including permanent exhibitions for all ages, elevated walkways, incredible vistas, and a pollinator-friendly meadow.





At 65 acres, Fernbank Forest is the largest old-growth forest of its kind in a major metropolitan area and is now directly connected to the museum through WildWoods.





Curator's Corner features rotating displays highlighting items from Fernbank's permanent collection. Topics and themes change regularly.





Closed Thanksgiving Day and Christmas Day.","Fernbank Museum of Natural History","767 Clifton Rd. NE
ATLANTA, GA 30307",""
"Marietta Fourth in the Park","https://atlantaplanit.wabe.org/events/marietta-fourth-in-the-park/","null","null","Tue, Jul 4","10am – 10pm","Free!","Grab your American flag, put on your red, white and blue, and celebrate America’s independence on with the City of Marietta. Start the day with an Independence Day parade and celebration on the Square, followed by free live concerts, an arts and crafts show, food, carnival games and the City of Marietta fireworks finale.","null","4 Depot St.
MARIETTA, GA 30060",""
"Coca-Cola® July 4th Fest","https://atlantaplanit.wabe.org/events/coca-cola-july-4th-fest/","null","null","Every","10:30am – 10pm","General Admission$49.99 to $51.99 adv, $66.99 at the door","July 2 through July 4, visitors can head to Six Flags to celebrate the country, enjoy the summer and share great times with friends. Each night, Six Flags Over Georgia will be honoring the annual Independence Day tradition with an amazing fireworks show. Be sure to get a spot early in the Cotton States Exposition district near the American Scream Machine and Sky Coaster for the best view.","null","275 Riverside Pkwy.",""
"Sensory Friendly Afternoons","https://atlantaplanit.wabe.org/events/sensory-friendly-afternoons/","Sensory Friendly Afternoons","Apr 18 – Dec 26","Tue, Apr 18Tue, Apr 25Tue, May 30Tue, Jun 27Tue, Jul 25Tue, Aug 29Tue, Sep 26Tue, Oct 31Tue, Nov 28Tue, Dec 26","2pm – 5pm","Adults$7.50Seniors$6.50Children (ages 4 to 12)$5.50Children (3 and under)Free!","The last Tuesday of each month, the Southern Museum of Civil War and Locomotive History in Kennesaw is transformed into a sensory-friendly environment. There are modified sound effects and volume adjustments inside the museum along with a designated quiet room that is available for those needing additional support.","Southern Museum of Civil War and Locomotive History","2829 Cherokee St.
KENNESAW, GA 30144",""
"Second Sundays","https://atlantaplanit.wabe.org/events/second-sunday-fundays/","Second Sundays","Jan 8 – Dec 10","Sun, Jan 8Sun, Feb 12Sun, Mar 12Sun, Apr 9Sun, May 14Sun, Jun 11Sun, Jul 9Sun, Aug 13Sun, Sep 10Sun, Oct 8Sun, Nov 12Sun, Dec 10","1pm – 4pm","Free!","Swing by the High on the second Sunday of each month, and fill the afternoon with art! The Museum hosts family art-making workshops with interactive, hands-on projects that connect to works of art in the permanent collection and special exhibitions. Play, create and be inspired! Special family-friendly programming is from 1 to 4 p.m.","High Museum of Art","1280 Peachtree St. NE
ATLANTA, GA 30309",""
"Little Five Arts Alive","https://atlantaplanit.wabe.org/events/little-five-arts-alive/","null","null","Every","5pm – 8pm","Free!","Building upon the success of the 2016 program, Little Five Arts Alive, a free weekly series of outdoor arts events, returns to the heart of Little Five Points! This year’s programming will again highlight a wide variety of artists -- music, dance, theatre, visual arts, crafts, circus, performance art and more.    They're mixing it up with lots of surprises for Little Five Points neighbors and visitors, including chances to be both spectators and participants. Every Saturday and Sunday from 5 to 8 p.m.","null","Moreland Ave. NE & Euclid Ave. NE
ATLANTA, GA 30307",""
"Madison Ave Soapbox Derby","https://atlantaplanit.wabe.org/events/madison-ave-soapbox-derby/","null","null","Sat, Oct 7","12pm – 5:30pm","Free!","This event is a unique, non-motorized racing event that challenges amateur racers to design and build human-powered soapbox cars and compete against the clock in a downhill race. The Madison Ave Soapbox Derby is fueled by creativity and family fun, not to mention the need for speed!





This event takes place at:


Madison Ave


Decatur, GA 30030","null","ATLANTA, GA",""
"Grant Park Summer Shade Festival","https://atlantaplanit.wabe.org/events/grant-park-summer-shade-festival/","null","null","Sat, Aug 26","10am – 10pm","Free!","For more than a decade, Atlanta art and music lovers have flocked to Grant Park each August to bid adieu to summer at the Summer Shade Festival. It’s two days of outdoor fun planned for all ages including a 5K Run for the Park, food trucks, craft beer, an entertaining Kids Zone and a music line up that just gets better every year. And don’t miss the Sunday morning Grant Park Farmers Market.","null","800 Cherokee Ave. SE
ATLANTA, GA 30315",""
"Fantastic Fourth Celebration","https://atlantaplanit.wabe.org/events/fantastic-fourth-celebration/","null","null","Every","10am – 10pm","Single ticket prices range from $26.95 to $31.95 adv","Experience the Lasershow Spectacular in Mountainvision®, a not-to-be-missed Atlanta tradition that promises to wow your family with state-of-the-art digital graphics and awe-inspiring effects. The Lasershow Spectacular in Mountainvision®, features iconic music, epic fireworks and  jaw-dropping fire effects.","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"Decatur Book Festival","https://atlantaplanit.wabe.org/events/decatur-book-festival/","null","null","","","Free!","The Decatur Book Festival is the largest independent book festival in the country and one of the five largest overall. Since its launch, more than 1,000 world-class authors and hundreds of thousands of festival-goers have crowded the historic downtown Decatur square to enjoy book signings, author readings, panel discussions, an interactive children's area, live music, parades, cooking demonstrations, poetry slams, writing workshops and more.","null","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030",""
"CreateATL: Family Fun Festival","https://atlantaplanit.wabe.org/events/createatl-family-fun-festival/","CreateATL: Family Fun Festival","Nov 20, 2016 – May 27, 2018","Every","1pm – 4pm","Free!","""CREATE ATL: Family Fun at The Woodruff Arts Center"" is an afternoon of free family programming, every Sunday from 1 to 4 p.m., led by the Alliance Theatre, Atlanta Symphony Orchestra and High Museum of Art. Activities include family festivals, art-making activities, interactive musical story times, composers-in-training sessions, instrument making, drop-in acting classes and more. In addition, families will have the opportunity to experience world-class productions and exhibitions at the Arts Center.","The Woodruff Arts Center","1280 Peachtree St. NE
ATLANTA, GA 30309",""
"Piedmont Park Arts Festival","https://atlantaplanit.wabe.org/events/piedmont-park-arts-festival/","null","null","Sat, Aug 19","10am – 5pm","Free!","The 2017 Piedmont Park summer arts and crafts festival is a two-day outdoor event with an emphasis on the visual arts and family fun. This event features nearly 250 painters, photographers, sculptors, leather and metalwork, glass blowers, jewelers and crafters. The festival will also offer artist demonstrations, live acoustic music, a street market, children's play area plus festival foods and beverages with healthy alternatives.","null","1071 Piedmont Ave.
ATLANTA, GA 30309",""
"Pumpkin Festival","https://atlantaplanit.wabe.org/events/pumpkin-festival-2/","null","null","Every","10am – 5pm","Single ticket prices range from $26.95 to $31.95 adv","Enjoy the beautiful fall colors and cooler weather at Atlanta’s favorite place to celebrate the fall season. Stone Mountain Park’s annual Pumpkin Festival has become a family favorite with kids and parents alike.





Take in all of the splendor that autumn provides with attractions, fun-filled games, shows, and more. Spookley's Funtastic Kid's Carnival including inflatables, candy, and traditional boardwalk games. Let the autumn breeze blow across you as you listen to classic and contemporary tales, including the Legend of Spookley the Square Pumpkin, during Adventure Tales Storytelling. Join Spookley the Square Pumpkin and lift his friends into the air for a Dance-A-Long Party Parade that dances through Crossroads, and then meet him at Spookley’s Pumpkin Patch Meet & Greet. Beat the clock with a tasty treat at the Pie Eating Contest and much more!","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"Stone Mountain Highland Games","https://atlantaplanit.wabe.org/events/stone-mountain-highland-games/","null","null","Every","8am – 5pm","General Admission$10 to $25","For 45 years, the picturesque grounds of the Stone Mountain Park meadow have resounded with the sounds of bagpipes, fiddles and harps during the third weekend in October. This year  thousands of Scots (even those that wish to be 'Scot for the Day') from around the world will don their family tartans and gather to greet old friends and make new ones too. Come and enjoy the Highland Athletic events, Highland Dancing, Piping and Drumming, and Scottish Harping. Participate in the Scottish Country Dancing demonstrations, Kirking of the Tartans, Clan Challenge Athletic events and the Parade of Tartans.","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"The Curious Garden","https://atlantaplanit.wabe.org/events/the-curious-garden/","The Curious Garden","May 6 – Oct 29","Every","9am – 7pm","Adults$21.95Children (ages 3 to 12)$15.95Children (2 and under)Free!","The Curious Garden features 11 site-specific installations created to share a story about the Garden’s plant collections and plant conservation work by prompting visitors to make a discovery, ask questions and provoke a discussion. Bold, often unexpected, manmade and altered natural materials are employed to direct the eye to focus on the simple beauty of nature. Think dozens of multi-colored spray-painted trees. A mysterious display of scientific lab glassware filled with an array of colorful liquids. Dozens of sparkly old chandeliers dripping with plants.","Atlanta Botanical Garden","1345 Piedmont Ave. NE
ATLANTA, GA 30309",""
"Center for Civil and Human Rights","https://atlantaplanit.wabe.org/events/center-for-civil-and-human-rights/","Center for Civil and Human Rights","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm12pm – 5pm","Adults$16 advSeniors/Students$14 advChildren (ages 3 to 12)$12 adv","Closed Thanksgiving Day and Christmas Day.





The Center for Civil and Human Rights is a museum where visitors can learn about The American Civil Rights Movement and its significance for the progress of human rights across the world. The individual galleries engage visitors through a combination of powerful imagery, compelling artifacts and poignant storytelling. 





Spark of Conviction: The Global Human Rights Movement features interactive technology intended to help visitors gain a deeper understanding of human rights and how they affect the lives of every person.





Rolls Down Like Water: The American Civil Rights Movement presents the brave fight for equality in The American Civil Rights Movement of the 1950s and '60s.





Voice to the Voiceless: The Morehouse College Martin Luther King Jr. Collection features a rotating exhibition of items where visitors can view the personal papers and items of Dr. Martin Luther King Jr.","Center for Civil and Human Rights","100 Ivan Allen Jr. Blvd.
ATLANTA, GA 30313",""
"Chattahoochee Nature Center","https://atlantaplanit.wabe.org/events/chattahoochee-nature-center/","Chattahoochee Nature Center","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm12pm – 5pm","Adults$10Seniors/Students$7Children (ages 3 to 12)$6Children (2 and under)Free!","Closed New Year's Day, Thanksgiving Day, Christmas Eve and Christmas Day.





Chattahoochee Nature Center provides unique learning experiences focused on the Chattahoochee River that connect people to the natural world. The Center offers interactive, hands-on programs for children as well as programs for adults. Get back to nature on one of six hiking trails. Explore almost three acres of gardens that display more than 600 native plants from Georgia. Also visit the Discovery Center, which serves as a portal of information about the Chattahoochee River Watershed and includes engaging interactive exhibits, live and native animals, a planted roof terrace, learning tools, and the Chattahoochee River Resources Gallery. In the Nature Exchange section, thousands of sea shells, fossils, unusual rocks, preserved insects and more wait to be touched, taken out and explored under microscopes and magnifiers. Bring your own objects to view or trade as you build your own special collection. There are many ways to create your own watershed adventure!","Chattahoochee Nature Center","9135 Willeo Rd.
ROSWELL, GA 30075",""
"Boo At The Zoo","https://atlantaplanit.wabe.org/events/boo-at-the-zoo/","null","null","Every","9:30am – 3pm","Adults: $22.99 adv Seniors: $18.99 adv Children: $16.99 adv Children (2 and under): Free!","It’s that time of year when Atlanta’s favorite fun family Halloween festival returns. Sample treats, and enjoy the sights, characters and adventures of the whimsical Zoo Boo Town on five magical days with more than 1,500 animals from around the world. Don’t forget your costume!","null","800 Cherokee Ave. SE
ATLANTA, GA 30315",""
"Peppa Pig’s Surprise","https://atlantaplanit.wabe.org/events/peppa-pigs-surprise-2/","Peppa Pig’s Surprise","Sep 24","Sun, Sep 24","5pm – 8pm","Single ticket prices range from $29.50 to $56.50 adv","In Peppa Pig’s Surprise, it’s a lovely day and Peppa is playing outside with her friends. Mummy Pig and Daddy Pig have got a surprise for her and her younger brother George, but no matter how hard they try, they cannot guess what it is. Audiences will enjoy interactive fun, games and, of course, many surprises.","Cobb Energy Performing Arts Centre","2800 Cobb Galleria Pkwy.
ATLANTA, GA 30339",""
"Cinderella Della Circus","https://atlantaplanit.wabe.org/events/cinderella-della-circus/","Cinderella Della Circus","Jun 20 – Jul 23","Every","10am – 11am12pm – 1pm11am – 12pm1pm – 2pm3pm – 4pm","Single ticket prices range from $11.25 to $19.50","Cinderella Della Circus brings high-flying thrills to the Center for Puppetry Arts! Created by the Center’s Artistic Director Jon Ludwig, this show balances both puppetry and the circus through fairytale magic!","Center for Puppetry Arts","1404 Spring St. NW
ATLANTA, GA 30309",""
"Atlanta World Kite Festival","https://atlantaplanit.wabe.org/events/atlanta-world-kite-festival/","null","null","Sat, Oct 28","1pm – 6pm","Free","The festival was created to provide an amazing outdoor family experience complete with kite flying and demonstrations, food, live entertainment, music, contests and a kids fun zone!","null","1071 Piedmont Ave.
ATLANTA, GA 30309",""
"Atlanta Botanical Garden","https://atlantaplanit.wabe.org/events/atlanta-botanical-garden/","Atlanta Botanical Garden","Jan 1 – Dec 31","Every","9am – 5pm","Adults$21.95Children (ages 3 to 12)$15.95Children (2 and under)Free!","Closed Mondays except Monday holidays such as Labor Day, Memorial Day and Columbus Day. Closed Thanksgiving Day, Christmas Day and New Year's Day.





Garden Tours: Tuesday through Thursday at 10:30 a.m.


(Meet in the Hardin Visitor Center five minutes prior to tour time.)





The Atlanta Botanical Garden is home to 15 acres of outdoor display gardens, the 5-acre Upper Woodland filled with shade-loving ornamentals from around the world, and the 10-acre Storza Woods with natural undergrowth and walking trails. The Fuqua Orchid Center houses a diverse plant collection that ranges from native plants of the Cloud Forest in the Andes Mountains in South America to orchids from Asia. Visitors can also enjoy the aerial views of the Woodland while strolling the 600-foot canopy walk and view the Edible Garden, which includes an outdoor kitchen and aims to demonstrate that fruits and vegetables make beautiful landscape plants.","Atlanta Botanical Garden","1345 Piedmont Ave. NE
ATLANTA, GA 30309",""
"The Wren’s Nest","https://atlantaplanit.wabe.org/events/the-wrens-nest/","The Wren’s Nest","Dec 30, 2016 – Dec 31, 2017","Every","10am – 2:30pm","Adults$9Seniors/Students$8Children$6","Storytelling: Saturday at 1 p.m.





The Wren's Nest is the Victorian home of Joel Chandler Harris, author of the Uncle Remus tales, located in Atlanta's historic West End. As Atlanta's oldest house museum, it officially opened for operation in 1913. Docents provide tours each day of the vast collection of furniture, books and decor original to the Harris home. The spunky tour guides and lively storytellers enhance the experience at this truly authentic, old-Atlanta home.","The Wren’s Nest","1050 Ralph D. Abernathy Blvd. SW
ATLANTA, GA 30310",""
"Pick’n In Grant Park","https://atlantaplanit.wabe.org/events/pickn-in-grant-park/","null","null","Fri, May 12","5pm – 10pm","Free!","The Grant Park Conservancy is please to bring back, Pick'n in Grant Park BBQ and Music Festival for a second year.","null","800 Cherokee Ave. SE
ATLANTA, GA 30315",""
