festival_list_link,festival_list_link-href,event_name,event_dates,event_cost,event_description,event_date_time,event_location_name,event_location_address,event_venue_html
"Alpharetta Brew Moon Octoberfest","https://atlantaplanit.wabe.org/events/alpharetta-brew-moon-octoberfest/","Alpharetta Brew Moon Octoberfest","Sep 30","null","Gather your friends and celebrate fall with beer, wine and delicious food from some of Alpharetta’s best restaurants. Enjoy live music from Old School Band and Band X.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 30</td><td>6:30pm – 11pm</td></tr></tbody></table></dd>","Historic Downtown Alpharetta","20 North Main St.
ALPHARETTA, GA 30009","<h3>Location</h3>
				<header class=""entry-header"">
					Historic Downtown Alpharetta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>20 North Main St.<br>ALPHARETTA, GA 30009</span></dd></dl>				<dl class=""pi-field wwwawesomealpharettacom"" title=""www.awesomealpharetta.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.awesomealpharetta.com"">www.awesomealpharetta.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:debbie@awesomealpharetta.com"">debbie@awesomealpharetta.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:678-297-0102"">678-297-0102</a></span></dd></dl>"
"Atlanta Field Day 2017","https://atlantaplanit.wabe.org/events/atlanta-field-day-2017/","Atlanta Field Day 2017","Jul 15","null","Atlanta Field Day is a throwback to grade school, built with adults in mind. They've got all the classic events like tug of war, relay races, obstacle courses, plus some crazy new games and some surprises throughout the day.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jul 15</td><td>12pm – 5pm</td></tr></tbody></table></dd>","Historic Fourth Ward Park","680 Dallas St NE
ATLANTA, GA 30308","<h3>Location</h3>
				<header class=""entry-header"">
					Historic Fourth Ward Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>680 Dallas St NE<br>ATLANTA, GA 30308</span></dd></dl>												<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-590-7275"">404-590-7275</a></span></dd></dl>"
"Food & Field Fest","https://atlantaplanit.wabe.org/events/food-field-fest/","Food & Field Fest","May 13","null","Second Helpings Atlanta takes over the Field at the Concourse once again for a family-friendly day of food, fun, and an old school-style Field Day competition with the help of Atlanta Sport and Social Club! Put your team together and join us on Saturday, May 13, from 1 p.m. to 5:30 p.m. for sack and relay races, tug-o-war, and giant versions of your favorite tabletop games like Jenga, Connect Four, and TicTacToe. Compete for prizes and the thrill of victory, or just for the fun of it!





Families, singles, local companies, schools, and Atlanta-area social clubs are invited to form teams and pre-register, or join as a single or couple and take your chances with a team formed on-site. Entertainment will be provided throughout the day including a live DJ and a concert to close the festivities. In addition to tournament winners, prizes will be awarded for best/funniest/wackiest team costumes and highest amount of sponsor dollars raised. 





Not a joiner? Spectator tickets will also be available for $5/each. Children under 10 are free. Come for the day to enjoy the food and entertainment, watch the on-field shenanigans, and cheer on your favorite team.





Sample the fare from food trucks, enjoy your favorite adult beverage, relax in the exclusive Team Lounge, and shop the marketplace. Bring the little ones to the bounce house, and participate in our popular community service project - pack and decorate bag lunches for our designated Partner Agency. Start your Mother’s Day weekend with your family and us - for food and fun; and support a local non-profit committed to “Driving Out Hunger, One Mile at a Time!” 





The Field at the Concourse is located at the corner of Hammond Drive and Peachtree Dunwoody Road inside the Concourse Office Park (King and Queen Buildings) in Sandy Springs. Keep an eye on the SHA website and Facebook Page for updates on the event and information on how to register.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>1pm – 5:30pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Decatur BBQ Blues & Bluegrass Festival","https://atlantaplanit.wabe.org/events/decatur-bbq-blues-bluegrass-festival/","Decatur BBQ Blues & Bluegrass Festival","Aug 12","Price","Decatur's 17th annual ""Decatur BBQ, Blues & Bluegrass Festival"" brings together Decatur's best BBQ and music for one afternoon in the Oakhurst neighborhood. Guests can taste BBQ from Fox Brothers, Black Tie BBQ, Williamson Bros. Bar-B-Q and more. Please note that no outside coolers will be permitted on site.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 12</td><td>12pm – 8pm</td></tr></tbody></table></dd>","Harmony Park","East Lake Drive and Oakview Road
DECATUR, GA 30030","<h3>Location</h3>
				<header class=""entry-header"">
					Harmony Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>East Lake Drive and Oakview Road<br>DECATUR, GA 30030</span></dd></dl>"
"Atlanta Back 2 School Food Festival","https://atlantaplanit.wabe.org/events/atlanta-back-2-school-food-festival/","Atlanta Back 2 School Food Festival","Aug 5","Free!","The Atlanta Back 2 School Food Festival is a kid-friendly event featuring food trucks, music, clothing, and information on health, education, art, and after-school care programs for families. Enjoy a culinary experience from Metro Atlanta's restaurants, caterers and food trucks. Kids can enjoy the fun zone equipped with inflatables, a rock climbing wall and bouncy houses.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 5</td><td>12pm – 5:30pm</td></tr></tbody></table></dd>","Mable House Barnes Amphitheatre","5239 Floyd Rd.
MABLETON, GA 30126","<h3>Location</h3>
				<header class=""entry-header"">
					Mable House Barnes Amphitheatre				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>5239 Floyd Rd.<br>MABLETON, GA 30126</span></dd></dl>				<dl class=""pi-field wwwmablehouseorg"" title=""www.mablehouse.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.mablehouse.org"">www.mablehouse.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:robert.edwards@cobbcounty.org"">robert.edwards@cobbcounty.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-819-7765"">770-819-7765</a></span></dd></dl>"
"Sandy Springs Festival","https://atlantaplanit.wabe.org/events/sandy-springs-festival-2/","Sandy Springs Festival","Sep 23 – Sep 24","null","The 32nd Annual Sandy Springs Festival offers two exciting days of art, live music, cultural performances, a pet parade, Chalk Walk Art Competition, 10K and 5K race, children’s programming, classic rides, gourmet and festival food options, and much more.





The Sandy Springs Festival has grown from a small picnic to a major event drawing over 20,000 attendees. As the primary fundraiser for Heritage Sandy Springs – the nonprofit organization that saved the original “sandy springs” and is dedicated to a vibrant community engaged in history, culture, and stewardship – this celebrated community tradition has something for everyone!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 23</td><td>9am – 6pm</td></tr><tr><td>Sun, Sep 24</td><td>10am – 5pm</td></tr></tbody></table></dd>","Heritage Green","6110 Bluestone Rd.
SANDY SPRINGS, GA 30328","<h3>Location</h3>
				<header class=""entry-header"">
					Heritage Green				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>6110 Bluestone Rd.<br>SANDY SPRINGS, GA 30328</span></dd></dl>				<dl class=""pi-field wwwheritagesandyspringsorg"" title=""www.heritagesandysprings.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.heritagesandysprings.org"">www.heritagesandysprings.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:information@heritagesandysprings.org"">information@heritagesandysprings.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-851-9111"">404-851-9111</a></span></dd></dl>"
"BronzeLens Film Festival","https://atlantaplanit.wabe.org/events/bronzelens-film-festival/","BronzeLens Film Festival","Aug 16 – Aug 20","Prices vary by date and pass type","The BronzeLens Film Festival is dedicated to bringing national and worldwide attention to Atlanta as a center for film and film production for people of color. Every fall, film lovers, actors and film makers gather in culture-and-heritage-rich Atlanta to share a creative platform of education, entertainment and empowerment discussions related to film, as well as television and the production of both. The BronzeLens Film Festival features screenings in multiple venues, as well as informative panels, and master classes led by top names in film, direction and production.





This event takes place at multiple venues. Please visit the website for more details.","null","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Taste of Johns Creek","https://atlantaplanit.wabe.org/events/taste-of-johns-creek/","Taste of Johns Creek","Aug 19","Admission is free","At Taste of Johns Creek you can sample more than 20 local restaurants from $1 to $4 on the campus of Chattahoochee High School. There will be an art walk with shopping abound, live music, local entertainment and kid’s activities, and visitors can taste some of the best food the Johns Creek area has to offer. Just make sure you bring your appetite!





This event takes place at:


Chattahoochee High School


5230 Taylor Rd.


Alpharetta, GA 30022","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 19</td><td>4pm – 9pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"East Atlanta Strut","https://atlantaplanit.wabe.org/events/east-atlanta-strut/","East Atlanta Strut","Sep 23","Free!","Each year in September, the East Atlanta Strut kicks off with a fun-filled day with great music, food, drinks, an artists' market, a circus, a kid's pavilion and a parade. The East Atlanta Strut is a community organized, one-day festival that raises money for neighborhood charities, organizations and supports local businesses.





This event takes place at:


Gleenwood Avenue and Flat Shoals Avenue


Atlanta, GA 30316","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 23</td><td>11am – 9pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Pumpkin Festival","https://atlantaplanit.wabe.org/events/pumpkin-festival-2/","Pumpkin Festival","Sep 29 – Sep 30","null","Enjoy the beautiful fall colors and cooler weather at Atlanta’s favorite place to celebrate the fall season. Stone Mountain Park’s annual Pumpkin Festival has become a family favorite with kids and parents alike.





Take in all of the splendor that autumn provides with attractions, fun-filled games, shows, and more. Spookley's Funtastic Kid's Carnival including inflatables, candy, and traditional boardwalk games. Let the autumn breeze blow across you as you listen to classic and contemporary tales, including the Legend of Spookley the Square Pumpkin, during Adventure Tales Storytelling. Join Spookley the Square Pumpkin and lift his friends into the air for a Dance-A-Long Party Parade that dances through Crossroads, and then meet him at Spookley’s Pumpkin Patch Meet & Greet. Beat the clock with a tasty treat at the Pie Eating Contest and much more!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm</td></tr></tbody></table></dd>","Stone Mountain Park","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087","<h3>Location</h3>
				<header class=""entry-header"">
					Stone Mountain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>U.S. Highway 78 East<br>Exit 8<br>STONE MOUNTAIN, GA 30087</span></dd></dl>				<dl class=""pi-field wwwstonemountainparkcom"" title=""www.stonemountainpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.stonemountainpark.com"">www.stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:jjones@stonemountainpark.com"">jjones@stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-498-5690"">770-498-5690</a></span></dd></dl>"
"Atlanta Black Theatre Festival","https://atlantaplanit.wabe.org/events/atlanta-black-theatre-festival/","Atlanta Black Theatre Festival","Sep 30 – Oct 7","Prices vary by event","The Atlanta Black Theatre Festival offers a variety of full length performances and special events that include educational workshops, celebrity panels and a readers' theatre series, all in one location. The goal of the festival is to create and expand opportunities for seasoned and emerging artists to affordably produce plays in Atlanta.





The Children’s Playfest is on Sept. 30, with the main events taking place from Oct. 4 through 7.","null","Porter Sanford III Performing Arts Center","3181 Rainbow Dr.
DECATUR, GA 30324","<h3>Location</h3>
				<header class=""entry-header"">
					Porter Sanford III Performing Arts Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>3181 Rainbow Dr.<br>DECATUR, GA 30324</span></dd></dl>				<dl class=""pi-field wwwcodekalbgausportersanfordindexhtml"" title=""www.co.dekalb.ga.us/PorterSanford/index.html""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.co.dekalb.ga.us/PorterSanford/index.html"">www.co.dekalb.ga.us/PorterSanford/index.html</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@portersanfordarts.com"">info@portersanfordarts.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-286-7262"">404-286-7262</a></span></dd></dl>"
"Sky High Hot Air Balloon Festival","https://atlantaplanit.wabe.org/events/sky-high-hot-air-balloon-festival/","Sky High Hot Air Balloon Festival","Sep 2 – Sep 4","Adults","Soar into September at the annual Sky High Hot Air Balloon Festival at Callaway Gardens. The weekend kicks off with the extraordinary Friday Night Balloon Glow and continues all weekend long. Watch beautiful balloons in flight or hop in a basket for your own tethered balloon ride. Saturday is filled with family-friendly events, including live music, beach activities, a Kids Zone and much more. There's something for everyone with a classic car show, disc dog demonstrations, a pyrotechnic skydiving demonstration, as well as a 5K Race and Triathlon event. If you're a photography buff, you can sign up for our hands-on ""Mastering Night Photography"" course. Plus, you'll find drink specials and sports on the televisions at the Beach Bar. Cap off the weekend with a final balloon glow Sunday night on Robin Lake Beach. With this exciting line-up of events, surrounded by the natural beauty of Callaway Gardens, there's no better way to say ""farewell"" to Summer 2017.





See below for tentative schedule of events.  Please note that hot air ballooning is 100% dependent on calm winds and good weather.  Balloon flights and tethered rides typically take place one hour after sunrise and two hours before sunset.  Our pilots will do their best to make flights and rides available while maintaining safety as our first priority.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 2<br>Sun, Sep 3<br>Mon, Sep 4</td><td>10am – 9pm</td></tr></tbody></table></dd>","Callaway Gardens","17800 US Hwy 27
PINE MOUNTAIN, GA 31822","<h3>Location</h3>
				<header class=""entry-header"">
					Callaway Gardens				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>17800 US Hwy 27<br>PINE MOUNTAIN, GA 31822</span></dd></dl>												<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:800-852-3810"">800-852-3810</a></span></dd></dl>"
"Decatur Lantern Parade","https://atlantaplanit.wabe.org/events/decatur-lantern-parade/","Decatur Lantern Parade","May 12","Free","Let your light shine and wind through downtown Decatur during this free community event. Gather at Color Wheel Studio at 508 E. Howard Ave. after 8 p.m., then parade to the downtown square. Make your own lantern at home or attend a lantern-making workshop where supplies and guidance are provided. Please note the Decatur Lantern Parade is battery powered. Flying lanterns are forbidden. The parade is a joint venture with Decatur Education Foundation.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12</td><td>8pm – 9pm</td></tr></tbody></table></dd>","Decatur Square","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030","<h3>Location</h3>
				<header class=""entry-header"">
					Decatur Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>W. Ponce de Leon Ave. and Church St.<br>DECATUR, GA 30030</span></dd></dl>				<dl class=""pi-field wwwdecaturgacom"" title=""www.decaturga.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.decaturga.com"">www.decaturga.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@decaturga.com"">info@decaturga.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-370-4100"">404-370-4100</a></span></dd></dl>"
"Atlanta Caribbean Carnival","https://atlantaplanit.wabe.org/events/atlanta-caribbean-carnival/","Atlanta Caribbean Carnival","May 26 – May 28","Tickets cost between $10 and $15","Celebrating 30 years, the Atlanta Caribbean Carnival promotes Caribbean culture among the broader metro Atlanta community. The events increase awareness of the various Caribbean art forms. Saturday’s event includes a parade of bands from noon to 3 p.m. that concludes at the Festival Village with various artistic performances and food vendors.","null","Central Park","400 Merritts Ave NE
ATLANTA, GA 30308","<h3>Location</h3>
				<header class=""entry-header"">
					Central Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>400 Merritts Ave NE<br>ATLANTA, GA 30308</span></dd></dl>				<dl class=""pi-field wwwcentralparkatlantaorg"" title=""www.centralparkatlanta.org/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.centralparkatlanta.org/"">www.centralparkatlanta.org/</a></span></dd></dl>"
"Decatur Wine Festival","https://atlantaplanit.wabe.org/events/decatur-wine-festival/","Decatur Wine Festival","Nov 4","General Admission","Enjoy a beautiful autumn afternoon in Decatur as you make your tasting selections from nearly 500 delicious wines from around the world. Decatur-area restaurants will serve up delectable, foodie-approved bites for you to try. After the Conundrums warm you up with an explosion of live rhythm and beats, you can groove to the spins of DJ Troy Cono, back by popular demand. Look for chalk art by Leslie McQueen, and wine-themed paintings and hand-crafted items for sale. Also, since it’s Decatur, there’s got to be spectacle, so this year make way for the Venus of Winendorf. The Venus will move about the festival in her amazing chariot with her entourage to enhance your wine festival experience.





Ages 21 and up only.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Nov 4</td><td>12:30pm – 4:30pm</td></tr></tbody></table></dd>","Decatur Square","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030","<h3>Location</h3>
				<header class=""entry-header"">
					Decatur Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>W. Ponce de Leon Ave. and Church St.<br>DECATUR, GA 30030</span></dd></dl>				<dl class=""pi-field wwwdecaturgacom"" title=""www.decaturga.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.decaturga.com"">www.decaturga.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@decaturga.com"">info@decaturga.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-370-4100"">404-370-4100</a></span></dd></dl>"
"Rock The Cure","https://atlantaplanit.wabe.org/events/rock-the-cure/","Rock The Cure","Jun 10","null","Benefiting the Georgia Chapter of JDRF, Rock the Cure is an annual brews and blues event featuring the best Georgia has to offer in live music, local brews, great food and exciting raffle prizes. Since its inception in 2007, Rock the Cure has raised more than $700,000 for T1D research.





This event takes place at:


SweetWater Brewery


195 Ottley Dr NE


Atlanta, GA 30324","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>7:30pm – 10:30pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Alpharetta Christmas Tree Lighting","https://atlantaplanit.wabe.org/events/alpharetta-christmas-tree-lighting/","Alpharetta Christmas Tree Lighting","Dec 2","Free","To kick-off the holiday season the Alpharetta Downtown Historic District lights up for the Annual Christmas Tree Lighting. Celebration fills the downtown streets in with musical performances, Santa, snow, food trucks, roasting marshmallows, a farmer’s market and more.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Dec 2</td><td>5pm – 9pm</td></tr></tbody></table></dd>","Historic Downtown Alpharetta","20 North Main St.
ALPHARETTA, GA 30009","<h3>Location</h3>
				<header class=""entry-header"">
					Historic Downtown Alpharetta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>20 North Main St.<br>ALPHARETTA, GA 30009</span></dd></dl>				<dl class=""pi-field wwwawesomealpharettacom"" title=""www.awesomealpharetta.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.awesomealpharetta.com"">www.awesomealpharetta.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:debbie@awesomealpharetta.com"">debbie@awesomealpharetta.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:678-297-0102"">678-297-0102</a></span></dd></dl>"
"Jazz On The Square","https://atlantaplanit.wabe.org/events/jazz-on-the-square/","Jazz On The Square","May 12","null","Enjoy live jazz music, beer, wine and great company at Colony Square!





This event takes place at:


Colony Square


1197 Peachtree St NE 


Atlanta, Ga 30361","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12</td><td>4pm – 6pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Malcolm X Festival","https://atlantaplanit.wabe.org/events/malcolm-x-festival/","Malcolm X Festival","May 20 – May 21","null","Malcolm X Festival is a two day event in its 28th year of consistent service to the community. Bring out family and friends for an experience not forgotten!





Featuring:


Ras Kofi


Da'wah Ensemble


NASO


Kilombo Pan African Institute


Mausiki Scales & Common Ground Collective





This event takes place at:


West End Park


1111 Oak St SW


Atlanta, GA 30310","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12pm – 8pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
