alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"E","https://atlantaplanit.wabe.org/venues/E/","Emory University, Performing Arts Studio","https://atlantaplanit.wabe.org/venues/emory-university-performing-arts-studio/","Emory University, Performing Arts Studio","404-727-5050","1804 North Decatur Rd.
ATLANTA, GA 30322","Emory University's 260-seat Performing Arts Studio was created within the church building adjacent to the Burlington Road Building. The Studio is now an active venue for smaller music recitals, theatre performances and guest lectures.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in the Lowergate South Parking Deck. Out of the deck, walk east on North Decatur Road toward Burlington Road. Cross Burlington Road, and the studio will be ahead on the left.","null","1804 North Decatur Rd.
ATLANTA, GA 30322","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Emory_-_Performing_Arts_Studio.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Marietta Gone With the Wind Museum: Scarlett on the Square","https://atlantaplanit.wabe.org/venues/marietta-gone-with-the-wind-museum-scarlett-on-the-square/","Marietta Gone With the Wind Museum: Scarlett on the Square","770-794-5576","18 Whitlock Ave. NW
MARIETTA, GA 30064","Marietta Gone With the Wind Museum: Scarlett on the Square was established in April of 2003 and currently houses Dr. Christopher Sullivan's privately owned collection of Gone With the Wind book and movie memorabilia.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in lots near the building and also around the Marietta Square.","null","18 Whitlock Ave. NW
MARIETTA, GA 30064","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/MariettaGWTWM_-_Exterior.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","The Strand Theatre","https://atlantaplanit.wabe.org/venues/strand-theatre-the/","The Strand Theatre","770-293-0080","117 North Park Square
MARIETTA, GA 30060","The Strand Theatre, a noted landmark on the historic Marietta Square in Cobb County, got its start as a major motion picture house in 1935. The Strand provided movie entertainment to thousands of people of all ages until it closed its doors as a movie house in 1976. In 2002, community leaders explored the possibility of restoring The Strand Theatre. Shortly thereafter, the group was formally organized as Friends of The Strand, Inc. Construction was completed in November 2008, and the theatre opened to the public with the Atlanta Lyric Theatre's production of ""Beauty and the Beast"" on December 5.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","The Strand is conveniently located next door to the Cobb County Parking Garage (between Cherokee and Waddell streets). Parking is free to the public Monday through Friday after 5 p.m. and all day on weekends. During the weekday, parking is only $3 in the same parking garage. From the garage, cross Cherokee Street to reach The Strand Theatre.","friends@earlsmithstrand.org","117 North Park Square
MARIETTA, GA 30060","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Strand_-_Tour_-_interior.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Woodruff Arts Center, Symphony Hall","https://atlantaplanit.wabe.org/venues/woodruff-arts-center-symphony-hall/","Woodruff Arts Center, Symphony Hall","404-733-5000","1280 Peachtree St. NE
ATLANTA, GA 30309","Symphony Hall hosts everything from concert presentations to meetings and corporate events, film or lecture events, and even dance and theatrical productions. With seating on three levels, Symphony Hall seats 1,074 in the Orchestra section, 349 in the First Balcony, and 339 in the Second Balcony, for a total of 1,762. In addition, 82 pit seats may be used (if stage set-up allows). There are 12 wheelchair spaces and 12 companion seats (folding chairs) in the Rear Orchestra.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleYesVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available at the following locations: (most event parking is $15 or less) Woodruff Arts Center Parking Garage, located on Arts Center Way between 15th Street and 16th Street Promenade Garage, located on 15th Street at the intersection of 15th Street and Arts Center Way Colony Square, located at 14th Street and Peachtree Street Midtown Plaza Parking Deck, located on Arts Center Way between 16th Street and West Peachtree Street MARTA: Take either the North or South line to the Arts Center Station. Follow the signs to the Woodruff Arts Center.","boxoffice@woodruffcenter.org","1280 Peachtree St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Atlanta_Symphony_Hall_interior_-_Credit_Jeff_Roffman.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","Lefont Sandy Springs","https://atlantaplanit.wabe.org/venues/lefont-sandy-springs/","Lefont Sandy Springs","404-255-0100","5920 Roswell Rd.
SANDY SPRINGS, GA 30328","Lefont Theaters was started in 1976 with the opening of Atlanta's legendary repertory cinema, THE SILVER SCREEN. Other theaters had been added to Lefont's Atlanta domain over the years…notably THE SCREENING ROOM, Lefont TARA and ANSLEY CINEMA…all of which invoke fond memories to Atlanta filmgoers for their innovative style and inventive film programming. 


Today Lefont Theaters continues its excellence at two historical locations – the 1946 GARDEN HILLS CINEMA and the 1939 Lefont PLAZA, the last of Atlanta's original Art Deco theaters. Come experience the alternative to your mall multiplex, and relive the ambiance of the personal art cinema.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking available in theater lots and surrounding shopping center.","null","5920 Roswell Rd.
SANDY SPRINGS, GA 30328","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Reinhardt University, The Falany Performing Arts Center","https://atlantaplanit.wabe.org/venues/reinhardt-university-the-falany-performing-arts-center/","Reinhardt University, The Falany Performing Arts Center","770-720-9167","7300 Reinhardt Circle","The Falany Performing Arts Center is built on the classic Greek axis, located across from the Fincher Visual Arts Center, on the Reinhardt University campus. The Center houses the School of Communication Arts and Music and provides a showcase for programs underlined by academic quality and a strong liberal arts tradition. Since opening in 2002, the Center has hosted a variety of events that enhance the knowledge, enjoyment and experiences of its students and community.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","fpac@reinhardt.edu","7300 Reinhardt Circle","https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/Falany_-_stage.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Alliance Theatre, Main Stage","https://atlantaplanit.wabe.org/venues/alliance-theatre-main-stage/","Alliance Theatre, Main Stage","404-733-5000","1280 Peachtree St. NE
ATLANTA, GA 30309","Since 1968, the Alliance Theatre has served as Atlanta's foremost theatre, working within the local, national and international communities to become one of the leading regional theatres in America. The 770-seat Alliance Main Stage allows audience members to experience world premieres, Broadway musicals, theatre classics, powerful dramas and great comedies.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available at the following locations: (most event parking is $12 or less) - Woodruff Arts Center Parking Garage, located on Arts Center Way between 15th Street and 16th Street - Promenade Garage, located on 15th Street at the intersection of 15th Street and Arts Center Way - Colony Square, located at 14th Street and Peachtree Street - Midtown Plaza Parking Deck, located on Arts Center Way between 16th Street and West Peachtree Street MARTA: Take either the North or South line to the Arts Center Station. Follow the signs to The Woodruff Arts Center.","allianceinfo@woodruffcenter.org","1280 Peachtree St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Alliance_-_Main_Stage.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Center for Puppetry Arts","https://atlantaplanit.wabe.org/venues/center-for-puppetry-arts/","Center for Puppetry Arts","404-873-3391","1404 Spring St. NW
ATLANTA, GA 30309","The Center for Puppetry Arts' mission is to inspire imagination, education and community through the global art of puppetry.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","The Center has limited free parking. MARTA: Take MARTA to the Arts Center Station. Out of the station walk north on West Peachtree Street. Turn left at 17th Street, and turn right at Spring Street to reach the venue.","info@puppet.org","1404 Spring St. NW
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/CPA_-_venue.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","Dad’s Garage at 7 Stages","https://atlantaplanit.wabe.org/venues/dads-garage-at-7-stages/","Dad’s Garage at 7 Stages","404-523-3141","1105 Euclid Ave. NE
ATLANTA, GA 30307","Founded in 1995, Dad's Garage Theatre has grown from a small volunteer-led organization to a thriving mid-size theatre led by professional artistic and administrative staff.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Paid parking is available for $2 to $7 between Arden's Garden and Outback Bicycle Shop. Limited free street parking is also available. MARTA: Take the Blue or Green Line to the Inman Park/Reynoldstown station. Exit out of the station north towards Inman Park. Walk north through the park. It is bounded to the north by Euclid Avenue. Make a right onto Euclid and proceed three blocks. 7 Stages will be on the right-hand side of the road.","tickets@dadsgarage.com","1105 Euclid Ave. NE
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Dads_Garage_-_logo.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Riverside Park","https://atlantaplanit.wabe.org/venues/riverside-park-2/","Riverside Park","null","575 Riverside Rd.
ROSWELL, GA 30075","Located on the banks of the Chattahoochee River, Roswell's Riverside Park features a ""Splash 'n' Play"" area for children, picnic areas, and often hosts outdoor concerts during the summer.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Free parking is available.","null","575 Riverside Rd.
ROSWELL, GA 30075","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Riverside_Park.jpg"
"V","https://atlantaplanit.wabe.org/venues/V/","Various locations","https://atlantaplanit.wabe.org/venues/various-locations/","Various locations","null","ATLANTA, GA 30303","This event takes place in various locations. Please refer to the event listing for a full description.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","null","null","ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"K","https://atlantaplanit.wabe.org/venues/K/","Kennesaw State University, Stillwell Theater","https://atlantaplanit.wabe.org/venues/kennesaw-state-university-stillwell-theater/","Kennesaw State University, Stillwell Theater","770-423-6650","1000 Chastain Rd.
#3103
KENNESAW, GA 30144","The Howard Logan Stillwell Theater, seating three hundred and twenty, is a contemporary proscenium theatre with the option of an orchestra pit or an extended apron. It features a computer controlled lighting system and a state of the art sound system. This space houses Classic TheatreWorks and hosts events for organizations around campus and the area.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available. Lots C, D and E are conveniently located near Stillwell theatre. For weekday and weeknight visits please allow plenty of time for parking during these high volume times. Weekday visitors should always park in the visitor area of Lot B.","boxoffice@kennesaw.edu","1000 Chastain Rd.
#3103
KENNESAW, GA 30144","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/ksu.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","SCADshow","https://atlantaplanit.wabe.org/venues/scadshow/","SCADshow","404-253-2700","173 14th St.
ATLANTA, GA 30309","The 13,300-square-foot SCADshow features three stages with a total of 635 seats. Built in 1986 as the Academy Theater, SCADshow serves as home to aTVfest and other SCAD Atlanta events. The main stage has a 375-seat capacity, and two black box theaters include 185 and 75 seats.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in nearby lots. MARTA: Take the Red/Gold Line to the Arts Center station. Exit east onto 15th Street. Turn right onto Peachtree Road, then turn left onto 14th Street. The venue will be on the right.","scadatl@scad.edu","173 14th St.
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/SCAD_-_SCADShow.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","Decatur","https://atlantaplanit.wabe.org/venues/decatur/","Decatur","null","DECATUR, GA 30030","null","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","null","null","DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Decatur.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Georgia Aquarium","https://atlantaplanit.wabe.org/venues/georgia-aquarium/","Georgia Aquarium","404-581-4000","225 Baker St.
ATLANTA, GA 30313","With 8 million gallons of marine and fresh water, 100,000 animals from 500 species, and 505,000 square feet, the Georgia Aquarium is the largest aquarium in the world. Come meet the whale sharks Ralph and Norton, members of the largest fish species on the globe. Come see belugas whales, whose charismatic personalities are sure to intrigue you and your family. And the fun doesn’t stop there ... around every corner you will come face to face with new animals and habitats.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","A 1,600-space parking garage is attached to the Georgia Aquarium, which includes both covered and rooftop parking for a fee. MARTA: Take the Red or Gold Line to the Peachtree Center station. Head west on Andrew Young International Boulevard, and after three blocks, turn right on Centennial Olympic Park Drive. Turn left on Baker Street to reach the Aquarium.","visitorservices@georgiaaquarium.org","225 Baker St.
ATLANTA, GA 30313","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Georgia_Aquarium-Night_CROP.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Chastain Arts Center","https://atlantaplanit.wabe.org/venues/chastain-arts-center/","Chastain Arts Center","404-252-2927","135 West Wieuca Rd. NW
ATLANTA, GA 30342","Chastain Arts Center has provided exceptional art classes and exhibits for over 35 years, making it one of Atlanta's oldest community arts centers. There are classes for all ages and for all skill levels in a variety of fine arts and crafts. There are four sessions each year, with classes that usually last for ten weeks. Many shorter workshops are also offered. Exhibits in the adjacent Gallery and throughout the Center showcase both the work of outside artists, and artwork created by instructors and students. The Center is located in Chastain Park in northwest Atlanta.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","135 West Wieuca Rd. NW
ATLANTA, GA 30342","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/CAC_-_building.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","The Cathedral of St. Philip","https://atlantaplanit.wabe.org/venues/cathedral-of-st-philip-the/","The Cathedral of St. Philip","404-365-1000","2744 Peachtree Rd. NW
ATLANTA, GA 30305","Located in Buckhead, The Cathedral of St. Philip frequently hosts performances of various types.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","2744 Peachtree Rd. NW
ATLANTA, GA 30305","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/CathedralofStPhilip.jpg"
"O","https://atlantaplanit.wabe.org/venues/O/","OnStage Atlanta, MainStage","https://atlantaplanit.wabe.org/venues/onstage-atlanta-mainstage/","OnStage Atlanta, MainStage","404-897-1802","2969 E Ponce de Leon Ave.
DECATUR, GA 30030","Since its founding in 1971, OnStage Atlanta has been producing compelling theater in Atlanta. The Mainstage Theatre seats up to 135 people. OnStage Atlanta also hosts workshops and seminars designed to inspire individual artists, teach aspiring actors, and give opportunities to those merely interested in trying something new.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","info@onstageatlanta.com","2969 E Ponce de Leon Ave.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Onstage_-_color_logo-3.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","Decatur Library","https://atlantaplanit.wabe.org/venues/decatur-library/","Decatur Library","404-370-3070","215 Sycamore St.
DECATUR, GA 30030","Decatur Library is the main library of the DeKalb County Public Libraries. The five-story Decatur Library is the largest building in the system and has the largest collection, especially reference works and adult non-fiction books. Serving Decatur and much of DeKalb County since 1925, the library has also been known as the Decatur Public Library, Decatur-DeKalb Library and Maud M. Burrus Library.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in a lot at the library. MARTA: Take MARTA to Decatur Station. Take the east exit. Turn left at N. McDonough Street and right at E. Court Square. Take a right on E. Ponce De Leon Avenue, a right on Church Street, and a left on Sycamore Street to reach the library.","null","215 Sycamore St.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Decatur_Library.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Smyrna Public Library","https://atlantaplanit.wabe.org/venues/smyrna-public-library/","Smyrna Public Library","770-431-2860","100 Village Green Circle SE
SMYRNA, GA 30080","The Smyrna Public Library is the only city-operated library in the state of Georgia and has provided service to the residents of Smyrna for 70 years.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Free parking is available.","sreference@ci.smyrna.ga.us","100 Village Green Circle SE
SMYRNA, GA 30080","https://atlantaplanit.wabe.org/wp-content/uploads/2016/12/SmyrnaLibrary.jpg"
"K","https://atlantaplanit.wabe.org/venues/K/","Kennesaw State University Center","https://atlantaplanit.wabe.org/venues/kennesaw-state-university-center-2/","Kennesaw State University Center","770-423-6000","3333 Busbee Dr.
KENNESAW, GA 30144","The Center is located on Kennesaw State University's extended campus and includes the Museum of History and Holocaust Education.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in a lot near the Center.","null","3333 Busbee Dr.
KENNESAW, GA 30144","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/ksu.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","Landmark Midtown Art Cinema","https://atlantaplanit.wabe.org/venues/landmark-midtown-art-cinema/","Landmark Midtown Art Cinema","678-495-1424","931 Monroe Circle NE
ATLANTA, GA 30306","Located in the Midtown Promenade Center, Landmark Midtown Art Cinema is quickly becoming the premier home for independent, foreign language and documentary films in the heart of Atlanta. The venue has eight screens and was built in 1987. It has been operated by Landmark Theatres since 2003.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is free in the shopping center. MARTA: Take the Red/Gold Line to the Civic Center station. Out of the station, walk east on Peachtree Place. Turn right at Juniper Street, and turn left at 8th Street. Turn right on Monroe Drive, and make a left on Monroe Circle to reach the venue.","null","931 Monroe Circle NE
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Landmark_Midtown_Art_Cinema.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","Bartow History Museum","https://atlantaplanit.wabe.org/venues/bartow-history-museum/","Bartow History Museum","770-382-3818","4 East Church St.
CARTERSVILLE, GA 30120","This museum documents the history of northwest Georgia’s Bartow County, spanning more than 200 years since the Cherokee were the area’s primary residents. Artifacts, photographs, documents, and a variety of interactive permanent exhibits tell the story of settlement, Cherokee life and removal, Civil War strife, and lifestyles of years past. The Bartow History Museum also provides a variety of educational opportunities for adults, children, families and school groups. Its extensive archives and research library containing photographs, documents, newspapers, rare books, genealogy records, oral history interviews, and more, is also available.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","lisar@bartowhistorymuseum.org","4 East Church St.
CARTERSVILLE, GA 30120","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/BHM_-_Logo.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","Little Five Points","https://atlantaplanit.wabe.org/venues/little-five-points/","Little Five Points","404-577-4212","Moreland Ave. NE & Euclid Ave. NE
ATLANTA, GA 30307","The Little Five Points commercial district is located on Moreland Avenue and Euclid Avenue. L5P is home to more than 100 independently owned and operated restaurants, shops, theaters, live music venues and neighborhood services.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Some businesses located on Moreland Avenue have free parking, and street parking is also available on Euclid Avenue. MARTA: Take the Blue or Green Line to the Inman Park-Reynoldstown or Edgewood-Candler Park station. From Inman Park-Reynoldstown, head northeast on DeKalb Avenue toward Moreland Avenue NE, and turn left. From Edgewood-Candler Park, head west on DeKalb Avenue toward Moreland Avenue NE, and turn right. The Little Five Points area (at Euclid Ave. NE) will be three blocks ahead.","null","Moreland Ave. NE & Euclid Ave. NE
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Little_5_Points.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Westside Cultural Arts Center","https://atlantaplanit.wabe.org/venues/westside-cultural-arts-center/","Westside Cultural Arts Center","678-218-3740","760 10th St. NW
ATLANTA, GA 30318","Westside Cultural Arts Center is a versatile special event venue in Atlanta. Founded by Dr. James L. Chappuis, the venue is a visually stimulating art world and a blank canvas for events.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking lots are accessible at the venue.","info@westsideartscenter.com","760 10th St. NW
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Westside_Cultural_Arts_Center_-_Interior.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Ray Charles Performing Arts Center","https://atlantaplanit.wabe.org/venues/ray-charles-performing-arts-center/","Ray Charles Performing Arts Center","null","900 West End Ave SW
ATLANTA, GA 30310","The Ray Charles Performing Arts Center is further evidence of Morehouse College's commitment to enhancing the study of the arts in its world-class liberal arts education. Designed to serve the academic mission of the Department of Music, as well as meet the performance space requirements of the College campus, the Center is home to the Morehouse College Glee Club, Morehouse Jazz Band, Morehouse College Jazz Ensemble and ""House of Funk"" Marching Band. The Center's architectural features capture the beauty of the traditional red brick bar accents and columns on the main campus, while adding the more modern, artistic elements of light colored stone accents, glass walls and cathedral ceilings.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Lot parking available","null","900 West End Ave SW
ATLANTA, GA 30310","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/Ray_Charles_Performing_Arts_Center.jpg"
"U","https://atlantaplanit.wabe.org/venues/U/","Unitarian Universalist Congregation of Atlanta","https://atlantaplanit.wabe.org/venues/unitarian-universalist-congregation-of-atlanta/","Unitarian Universalist Congregation of Atlanta","404-634-5134","1597 Interstate -85 Frontage Road
ATLANTA, GA 30329","Universalist Unitarian Congregation of Atlanta hosts a variety of theatrical and musical community events throughout the year.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Free parking is available.","null","1597 Interstate -85 Frontage Road
ATLANTA, GA 30329","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Unitarian_Universalist_Congregation_Atlanta.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Walker Park","https://atlantaplanit.wabe.org/venues/walker-park/","Walker Park","null","200 Memorial Terrace SE
ATLANTA, GA 30316","Walker Park is located in the Edgewood neighborhood area on the east side of Atlanta.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Street parking is available nearby.","null","200 Memorial Terrace SE
ATLANTA, GA 30316","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","Horizon Theatre","https://atlantaplanit.wabe.org/venues/horizon-theatre/","Horizon Theatre","404-584-7450","1083 Austin Ave. NE
ATLANTA, GA 30307","The Horizon Theatre is located in Little Five Points in a beige brick renovated historic school building. It provides an intimate, casual environment where diverse audiences can truly feel part of the theatrical experience. It also provides an artistic home where a core group of local theatre artists can grow, develop and interact with regional, national and international artists. The theatre's performing group, The Horizon Theatre Company, has been bringing exciting area and world premieres of contemporary plays to Atlanta's audiences since 1983.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free, well-lit parking is available in the fenced lot behind the theatre. Handicapped parking is located in the driveway at 1083 Austin Avenue. Instead of going through the second light on Euclid, turn left at the light onto Austin Avenue. The parking is located in the first driveway on your right. MARTA: Exit the train at the Inman Park/Reynoldstown stop. Turn left as you exit the station. Turn right onto Hurt Avenue, then turn right onto Euclid Avenue at the next intersection. The theatre is located approximately three blocks up Euclid Avenue on the right, at the corner of Euclid and Austin Avenues.","boxoffice@horizontheatre.com","1083 Austin Ave. NE
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Horizon_-_logonew2012-1.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","The Highland Inn Ballroom Lounge","https://atlantaplanit.wabe.org/venues/highland-inn-ballroom-lounge-the/","The Highland Inn Ballroom Lounge","404-874-5756","644 North Highland Ave. NE
ATLANTA, GA 30306","The Highland Inn Ballroom Lounge is a unique staple of Atlanta's nightlife and music scene. Built in 1927, The Ballroom Lounge is nestled directly below The Highland Inn. Most of the original splendor of the space is semi-well preserved while keeping current with musical trends. Come enjoy the ambiance of a candle-lit lounge while listening to classic tunes or lounge grooves.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available on the right-hand side of the building, and street parking is also available.","info@thehighlandinn.com","644 North Highland Ave. NE
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/12/Highland_Inn.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","Lutheran Church of the Redeemer","https://atlantaplanit.wabe.org/venues/lutheran-church-of-the-redeemer/","Lutheran Church of the Redeemer","null","731 Peachtree St.
ATLANTA, GA 30308","null","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","null","null","731 Peachtree St.
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Roswell United Methodist Church","https://atlantaplanit.wabe.org/venues/roswell-united-methodist-church/","Roswell United Methodist Church","770-993-6218","814 Mimosa Blvd.
ROSWELL, GA 30075","Roswell United Methodist Church frequently hosts performances of various types.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","On Site Parking Lots: The North Parking Lot is for general parking Off Site Parking Lots: Wachovia Bank on Magnolia St. and Peachtree Salvage on Canton St.","webmaster@rumc.com","814 Mimosa Blvd.
ROSWELL, GA 30075","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/RoswellUnitedMethodist.jpg"
